title,rating
"Shawshank Redemption, The (1994)",1395.5
Forrest Gump (1994),1382.5
Pulp Fiction (1994),1379.0
"Silence of the Lambs, The (1991)",1258.0
Star Wars: Episode IV - A New Hope (1977),1228.5
"Matrix, The (1999)",1083.5
Schindler's List (1993),1050.0
Jurassic Park (1993),1015.5
Star Wars: Episode V - The Empire Strikes Back (1980),990.5
Toy Story (1995),956.5
Fargo (1996),953.5
Terminator 2: Judgment Day (1991),949.5
American Beauty (1999),932.0
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),922.5
Back to the Future (1985),907.5
Braveheart (1995),899.5
"Godfather, The (1972)",897.5
Star Wars: Episode VI - Return of the Jedi (1983),881.0
"Usual Suspects, The (1995)",878.5
Fight Club (1999),844.0
